#A       sigma2  tau     lambda    accum
6.41847 10 3.16228 0.00795858 0 
6.41847 10 3.16228 0.0087547 0 
6.41847 10 3.16228 0.00963046 0 
6.41847 10 3.16228 0.0105938 0 
6.41847 10 3.16228 0.0116536 0 
6.41847 10 3.16228 0.0128193 0 
6.41847 10 3.16228 0.0141016 0 
6.41847 10 3.16228 0.0155123 0 
6.41847 10 3.16228 0.017064 0 
6.41847 10 3.16228 0.018771 0 
6.41847 10 3.16228 0.0206487 0 
6.41847 10 3.16228 0.0227143 0 
6.41847 10 3.16228 0.0249864 0 
6.41847 10 3.16228 0.0274859 0 
6.41847 10 3.16228 0.0302354 0 
6.41847 10 3.16228 0.0332599 0 
6.41847 10 3.16228 0.036587 0 
6.41847 10 3.16228 0.0402469 0 
6.41847 10 3.16228 0.0442729 0 
6.41847 10 3.16228 0.0487017 0 
6.41847 10 3.16228 0.0535735 0 
6.41847 10 3.16228 0.0589326 0 
6.41847 10 3.16228 0.0648278 0 
6.41847 10 3.16228 0.0713127 0 
6.41847 10 3.16228 0.0784463 0 
6.41847 10 3.16228 0.0862935 0 
6.41847 10 3.16228 0.0949257 0 
6.41847 10 3.16228 0.104421 0 
6.41847 10 3.16228 0.114867 0 
6.41847 10 3.16228 0.126357 0 
6.41847 10 3.16228 0.138997 0 
6.41847 10 3.16228 0.152902 0 
6.41847 10 3.16228 0.168197 0 
6.41847 10 3.16228 0.185022 0 
6.41847 10 3.16228 0.203531 0 
6.41847 10 3.16228 0.22389 0 
6.41847 10 3.16228 0.246287 0 
6.41847 10 3.16228 0.270923 0 
6.41847 10 3.16228 0.298025 0 
6.41847 10 3.16228 0.327837 0 
6.41847 10 3.16228 0.360632 0 
6.41847 10 3.16228 0.396707 0 
6.41847 10 3.16228 0.43639 0 
6.41847 10 3.16228 0.480044 0 
6.41847 10 3.16228 0.528064 0 
6.41847 10 3.16228 0.580888 0 
6.41847 10 3.16228 0.638996 0 
6.41847 10 3.16228 0.702916 0 
6.41847 10 3.16228 0.773231 0 
6.41847 10 3.16228 0.85058 0 
6.41847 10 3.16228 0.935666 0 
6.41847 10 3.16228 1.02926 0 
6.41847 10 3.16228 1.13222 0 
6.41847 10 3.16228 1.24548 0 
6.41847 10 3.16228 1.37007 0 
6.41847 10 3.16228 1.50712 0 
6.41847 10 3.16228 1.65789 0 
6.41847 10 3.16228 1.82373 0 
6.41847 10 3.16228 2.00616 0 
6.41847 10 3.16228 2.20685 0 
6.41847 10 3.16228 2.4276 0 
6.41847 10 3.16228 2.67044 0 
6.41847 10 3.16228 2.93758 0 
6.41847 10 3.16228 3.23143 0 
6.41847 10 3.16228 3.55468 0 
6.41847 10 3.16228 3.91027 0 
6.41847 10 3.16228 4.30142 0 
6.41847 10 3.16228 4.7317 0 
6.41847 10 3.16228 5.20503 0 
6.41847 10 3.16228 5.72571 0 
6.41847 10 3.16228 6.29846 0 
6.41847 10 3.16228 6.92852 0 
6.41847 10 3.16228 7.6216 0 
6.41847 10 3.16228 8.38401 0 
6.41847 10 3.16228 9.22269 0 
6.41847 10 3.16228 10.1453 0 
6.41847 10 3.16228 11.1601 0 
6.41847 10 3.16228 12.2765 0 
6.41847 10 3.16228 13.5046 0 
6.41847 10 3.16228 14.8555 0 
6.41847 10 3.16228 16.3415 0 
6.41847 10 3.16228 17.9762 0 
6.41847 10 3.16228 19.7744 0 
6.41847 10 3.16228 21.7525 0 
6.41847 10 3.16228 23.9284 0 
6.41847 10 3.16228 26.3221 0 
6.41847 10 3.16228 28.9552 0 
6.41847 10 3.16228 31.8516 0 
6.41847 10 3.16228 35.0378 0 
6.41847 10 3.16228 38.5428 0 
6.41847 10 3.16228 42.3983 0 
6.41847 10 3.16228 46.6396 0 
6.41847 10 3.16228 51.305 0 
6.41847 10 3.16228 56.4372 0 
6.41847 10 3.16228 62.0828 0 
6.41847 10 3.16228 68.2932 0 
6.41847 10 3.16228 75.1247 0 
6.41847 10 3.16228 82.6397 0 
6.41847 10 3.16228 90.9064 0 
6.41847 10 3.16228 100 0 
6.41847 10 3.16228 0.0325006 0 
6.41847 10 3.01645 0.0325006 0 
6.41847 9.52381 3.16228 0.0325006 0 
6.41847 10 3.16228 0.0313319 0 
6.41847 9.67742 3.32345 0.0317089 0 
6.41847 9.52381 3.50253 0.0313319 0 
6.41847 9.375 3.38101 0.0329166 0 
6.41847 9.72973 3.54506 0.0319671 0 
6.41847 9.83607 3.77473 0.0317089 0 
6.41847 9.18367 4.03721 0.0314563 0 
